date,Suspended Matter,Dissolved Oxygen Matter,Temperature,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Year,Month
11-05-2018,,,44.09979622,,,,,,2018,11
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
12-05-2018,,0.551476357,,,,,,,2018,12
